002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
002003,002003,002003,002003,002003,002003,002003
-
000000,000001,000001,000001,000001,000001,000002
001000,000004,005003,005003,005003,005003,001002
001000,001004,005003,005003,005003,005003,001002
001000,005003,005003,005003,005003,005003,001002
001000,005003,002004,005003,003005,003006,001002
001000,005003,005003,005003,005003,005003,001002
002000,002001,002001,002001,002001,002001,002002
-
